"Source","Target","Weight"
"OSHA","ROBB",10
"OSHA","THEON",61
"OSHA","TORMUND",2
"OSHA","YGRITTE",2
"OTHELL_YARWYCK","PYP",2
"OTHELL_YARWYCK","SAM",6
"OTHOR","PYP",2
"OTHOR","SAM",2
"PODRICK","PYCELLE",3
"PODRICK","SANSA",2
"PODRICK","SHAE",6
"PODRICK","TYRION",73
"PODRICK","VARYS",10
"POLLIVER","TYWIN",2
"PYATT_PREE","XARO",9
"PYCELLE","RENLY",8
"PYCELLE","ROBERT",14
"PYCELLE","SANSA",15
"PYCELLE","TIMETT",5
"PYCELLE","TYRION",58
"PYCELLE","TYWIN",12
"PYCELLE","VARYS",27
"PYCELLE","YOREN",2
"PYP","RAST",10
"PYP","SAM",35
"PYP","TYRION",6
"QHORIN","LORD_OF_BONES",10
"QHORIN","SAM",5
"QHORIN","YGRITTE",28
"QHORIN_HALFHAND","YGRITTE",2
"QOTHO","RAKHARO",3
"QUAITHE","XARO",2
"QUENT","ROBB",3
"QYBURN","ROBB",3
"QYBURN","ROOSE_BOLTON",4
"QYBURN","SELWYN",2
"QYBURN","TYWIN",2
"RAKHARO","VISERYS",3
"RAMSAY","ROBB",3
"RAMSAY","ROOSE_BOLTON",7
"RAMSAY","THEON",114
"RAMSAY","VIOLET",2
"RAMSAY","YARA",4
"RANDYLL","SAM",9
"RAST","SAM",19
"RAST","TYRION",3
"REGINALD","TYWIN",8
"RENLY","ROBB",11
"RENLY","ROBERT",35
"RENLY","SANSA",7
"RENLY","STANNIS",54
"RENLY","TOMARD",2
"RENLY","TYWIN",2
"RENLY","VARYS",9
"RENNICK","ROBB",2
"RHAEGAR","ROBERT",2
"RHAEGO","VISERYS",2
"RHAENYS","VISENYA",2
"RICKARD_KARSTARK","ROBB",52
"RICKARD_KARSTARK","ROOSE_BOLTON",6
"RICKARD_KARSTARK","ROSLIN",2
"RICKARD_KARSTARK","THEON",4
"RICKARD_KARSTARK","TORRHEN",4
"RICKARD_KARSTARK","WALDER",2
"RICKARD_KARSTARK","WILLEM_LANNISTER",3
"RICKON","ROBB",5
"RICKON","RODRIK",2
"RICKON","THEON",8
"RICKON","TORMUND",2
"RICKON","YGRITTE",2
"ROBB","ROBERT",5
"ROBB","RODRIK",16
"ROBB","ROOSE_BOLTON",51
"ROBB","ROSLIN",6
"ROBB","SANSA",19
"ROBB","STANNIS",11
"ROBB","THEON",87
"ROBB","TYRION",19
"ROBB","TYWIN",22
"ROBB","VARYS",4
"ROBB","WALDER",33
"ROBB","YARA",4
"ROBERT","SANSA",17
"ROBERT","STANNIS",14
"ROBERT","THEON",2
"ROBERT","THOROS",3
"ROBERT","TOMMEN",4
"ROBERT","TYRION",10
"ROBERT","TYWIN",10
"ROBERT","VARYS",11
"ROBERT","VISERYS",7
"ROBIN","TYRION",12
"ROBIN","VARDIS_EGEN",3
"RODRIK","THEON",31
"RODRIK","TYRION",9
"RODRIK","TYWIN",2
"ROOSE_BOLTON","STEELSHANKS_WALTON",3
"ROOSE_BOLTON","THEON",3
"ROOSE_BOLTON","TYWIN",9
"ROOSE_BOLTON","WALDER",23
"RORGE","YOREN",3
"ROSLIN","WALDER",8
"ROYCE","WILL",4
"RYGER_RIVERS","WALDER",4
"RYLENE","STANNIS",2
"SALLADHOR","STANNIS",2
"SANSA","SEPTA_MORDANE",64
"SANSA","SHAE",105
"SANSA","STANNIS",2
"SANSA","TOMMEN",9
"SANSA","TYRION",110
"SANSA","TYWIN",14
"SANSA","VARYS",15
"SANSA","YOREN",4
"SELYSE","SHIREEN",2
"SELYSE","STANNIS",21
"SHAE","TOMMEN",3
"SHAE","TYRION",243
"SHAE","TYWIN",8
"SHAE","VARYS",33
"SHAGGA","TYRION",22
"SHAGGA","TYWIN",6
"SHIREEN","STANNIS",16
"STANNIS","TOMARD",2
"STANNIS","TYRION",20
"STANNIS","TYWIN",6
"STANNIS","VARYS",4
"STEELSHANKS_WALTON","TYWIN",2
"STEVRON_FREY","WALDER",4
"THEON","TORRHEN",2
"THEON","TYRION",21
"THEON","VARYS",3
"THEON","VIOLET",12
"THEON","WALDER",3
"THEON","WILL",2
"THEON","YARA",94
"TIMETT","TYRION",3
"TOMMEN","TYRION",3
"TORMUND","YGRITTE",29
"TRYSTANE","TYRION",2
"TYRION","TYSHA",2
"TYRION","TYWIN",187
"TYRION","VARYS",129
"TYRION","WALDER",2
"TYRION","YOREN",22
"TYWIN","VARYS",15
"TYWIN","WALDER",2
"VARDIS_EGEN","TYRION",9
"VARYS","YOREN",3
"WAYMAR_ROYCE","WILL",4
