"Alter_ID","label","Degree","Strength","Gender","Culture","House","Titles","Is_Noble","Active","Survival","Ego_ID"
"ILLYRIO","Illyrio Mopatis",6,54,"Male","Essos","Great_Houses","Official",0,0,1,"ARYA"
"ILYN_PAYNE","Ilyn Payne",13,60,"Male","Westeros_South","Minor_Houses","Official",0,0,1,"ARYA"
"JAIME","Jaime Lannister",39,876,"Male","Westeros_South","Great_Houses","Military_Knight",0,3,1,"ARYA"
"JOFFREY","Joffrey Baratheon",49,1079,"Male","None","None","Royalty",1,0,0,"ARYA"
"JON","Jon Snow",42,1179,"Male","North_and_Wildlings","Great_Houses","Military_Knight",0,4,1,"ARYA"
"JORY_CASSEL","Jory Cassel",8,100,"Male","North_and_Wildlings","Minor_Houses","Military_Knight",0,0,0,"ARYA"
"KEVAN","Kevan Lannister",9,53,"Male","None","Great_Houses","Military_Knight",0,1,0,"ARYA"
"LITTLEFINGER","Petyr Baelish",34,747,"Male","Westeros_South","Minor_Houses","Official",0,0,1,"ARYA"
"LOMMY_GREENHANDS","Lommy",2,14,"Male","None","None","None",0,0,0,"ARYA"
"MERYN_TRANT","Meryn Trant",16,161,"Male","None","Minor_Houses","Military_Knight",0,0,1,"ARYA"
"MOUNTAIN","Gregor Clegane",16,69,"Male","None","Minor_Houses","Military_Knight",0,0,0,"ARYA"
"MYCAH","Mycah",4,24,"Male","Westeros_South","None","None",0,0,0,"ARYA"
"NED","Eddard Stark",62,1427,"Male","North_and_Wildlings","Great_Houses","Nobility",1,1,0,"ARYA"
"PYCELLE","Pycelle",26,343,"Male","None","Great_Houses","Religion_Academic",0,0,0,"ARYA"
"ROBB","Robb Stark",54,1219,"Male","None","None","Royalty",1,0,0,"ARYA"
"ROBERT","Robert I Baratheon",45,648,"Male","None","None","Royalty",1,0,0,"ARYA"
"ROOSE_BOLTON","Roose Bolton",19,203,"Male","North_and_Wildlings","Minor_Houses","Nobility",1,0,1,"ARYA"
"SANSA","Sansa Stark",40,1110,"Female","North_and_Wildlings","Minor_Houses","Royalty",1,4,1,"ARYA"
"SEPTA_MORDANE","Mordane",6,95,"Female","None","Great_Houses","Religion_Academic",0,0,0,"ARYA"
"SYRIO_FOREL","Syrio Forel",3,63,"Male","Essos","Great_Houses","Military_Knight",0,0,0,"ARYA"
"TYRION","Tyrion Lannister",64,2322,"Male","None","Great_Houses","Official",0,4,1,"ARYA"
"TYWIN","Tywin Lannister",42,799,"Male","None","Great_Houses","Nobility",1,0,0,"ARYA"
"VARYS","Varys",31,673,"Male","None","None","Official",0,0,1,"ARYA"
"YOREN","Yoren",20,135,"Male","Westeros_South","None","None",0,0,0,"ARYA"
"AMORY","Amory Lorch",6,46,"Male","None","Great_Houses","Military_Knight",0,0,0,"ARYA"
"BITER","Biter",4,23,"Male","None","None","None",0,0,0,"ARYA"
"JAQEN","Jaqen H'ghar",8,142,"Male","None","None","None",0,0,1,"ARYA"
"LOMMY","Lommy",4,26,"Male","None","None","None",0,0,0,"ARYA"
"MELISANDRE","Melisandre",15,287,"Female","Essos","None","None",0,1,1,"ARYA"
"POLLIVER","Polliver",6,23,"Male","None","Minor_Houses","Official",0,0,0,"ARYA"
"REGINALD","Reginald",2,10,"Male","Westeros_South","None","None",1,0,1,"ARYA"
"RHAENYS","Rhaenys Targaryen",2,4,"Female","Essos","Great_Houses","Royalty",1,0,0,"ARYA"
"RORGE","Rorge",5,39,"Male","None","None","None",0,0,0,"ARYA"
"TICKLER","The Tickler",3,13,"Female","None","Minor_Houses","None",0,0,0,"ARYA"
"VISENYA","Visenya Targaryen",2,5,"Female","Essos","Great_Houses","Royalty",1,0,0,"ARYA"
"ANGUY","Anguy",7,93,"Male","None","None","None",0,0,1,"ARYA"
"THOROS","Thoros of Myr",10,175,"Male","Essos","None","None",0,0,1,"ARYA"
"AERYS","Aerys II",16,63,"Male","None","None","Royalty",1,0,0,"BARRISTAN"
"CERSEI","Cersei Lannister",47,1347,"Female","Westeros_South","Great_Houses","Nobility",1,2,1,"BARRISTAN"
"DAENERYS","Daenerys Targaryen",34,1212,"Female","None","Great_Houses","Royalty",1,0,1,"BARRISTAN"
"JAIME","Jaime Lannister",39,876,"Male","Westeros_South","Great_Houses","Military_Knight",0,3,1,"BARRISTAN"
"JOFFREY","Joffrey Baratheon",49,1079,"Male","None","None","Royalty",1,0,0,"BARRISTAN"
"JORAH","Jorah Mormont",30,665,"Male","North_and_Wildlings","Minor_Houses","Military_Knight",0,0,1,"BARRISTAN"
"LANCEL","Lancel Lannister",14,128,"Male","None","Great_Houses","Military_Knight",0,0,1,"BARRISTAN"
"LITTLEFINGER","Petyr Baelish",34,747,"Male","Westeros_South","Minor_Houses","Official",0,0,1,"BARRISTAN"
"NED","Eddard Stark",62,1427,"Male","North_and_Wildlings","Great_Houses","Nobility",1,1,0,"BARRISTAN"
"PYCELLE","Pycelle",26,343,"Male","None","Great_Houses","Religion_Academic",0,0,0,"BARRISTAN"
"RENLY","Renly Baratheon",27,426,"Male","Westeros_South","Great_Houses","Nobility",1,0,0,"BARRISTAN"
"ROBERT","Robert I Baratheon",45,648,"Male","None","None","Royalty",1,0,0,"BARRISTAN"
"VARYS","Varys",31,673,"Male","None","None","Official",0,0,1,"BARRISTAN"
"DAARIO","Daario Naharis",7,96,"Male","Essos","None","None",0,0,1,"BARRISTAN"
"GREY_WORM","Grey Worm",6,39,"Male","None","Great_Houses","None",0,0,1,"BARRISTAN"
"KRAZNYS_MO_NAKLOZ","Kraznys mo Nakloz",5,84,"Male","Essos","None","None",0,0,0,"BARRISTAN"
"MISSANDEI","Missandei",10,164,"Female","Essos","Great_Houses","None",0,0,1,"BARRISTAN"
"RADZAI_MO_ERAZ","Radzai Mo Eraz",3,24,"Male","Essos","None","Nobility",1,0,1,"BARRISTAN"
"CATELYN","Catelyn Stark",56,1137,"Female","Westeros_South","Great_Houses","Nobility",1,3,0,"BENJEN"
"CERSEI","Cersei Lannister",47,1347,"Female","Westeros_South","Great_Houses","Nobility",1,2,1,"BENJEN"
"JEOR","Jeor Mormont",21,314,"Male","North_and_Wildlings","Minor_Houses","Nobility",1,0,0,"BENJEN"
"JON","Jon Snow",42,1179,"Male","North_and_Wildlings","Great_Houses","Military_Knight",0,4,1,"BENJEN"
"NED","Eddard Stark",62,1427,"Male","North_and_Wildlings","Great_Houses","Nobility",1,1,0,"BENJEN"
"ROBB","Robb Stark",54,1219,"Male","None","None","Royalty",1,0,0,"BENJEN"
"ROBERT","Robert I Baratheon",45,648,"Male","None","None","Royalty",1,0,0,"BENJEN"
"TYRION","Tyrion Lannister",64,2322,"Male","None","Great_Houses","Official",0,4,1,"BENJEN"
"YOREN","Yoren",20,135,"Male","Westeros_South","None","None",0,0,0,"BENJEN"
"CRASTER","Craster",10,114,"Male","North_and_Wildlings","None","None",0,0,0,"BENJEN"
"ARYA","Arya Stark",47,1142,"Female","North_and_Wildlings","Great_Houses","Royalty",1,5,1,"BRAN"
"BRANDON_STARK","Brandon Stark",6,17,"Male","North_and_Wildlings","Great_Houses","None",0,0,0,"BRAN"
"CATELYN","Catelyn Stark",56,1137,"Female","Westeros_South","Great_Houses","Nobility",1,3,0,"BRAN"
"CERSEI","Cersei Lannister",47,1347,"Female","Westeros_South","Great_Houses","Nobility",1,2,1,"BRAN"
"HODOR","Walder",17,225,"Male","None","Great_Houses","None",0,0,1,"BRAN"
"HOUND","Sandor Clegane",31,444,"Male","None","Minor_Houses","None",0,0,0,"BRAN"
"JAIME","Jaime Lannister",39,876,"Male","Westeros_South","Great_Houses","Military_Knight",0,3,1,"BRAN"
"JOFFREY","Joffrey Baratheon",49,1079,"Male","None","None","Royalty",1,0,0,"BRAN"
"JON","Jon Snow",42,1179,"Male","North_and_Wildlings","Great_Houses","Military_Knight",0,4,1,"BRAN"
"MAESTER_LUWIN","Luwin",16,263,"Male","Westeros_South","Great_Houses","None",0,0,0,"BRAN"
"NED","Eddard Stark",62,1427,"Male","North_and_Wildlings","Great_Houses","Nobility",1,1,0,"BRAN"
"OLD_NAN","Nan",3,15,"Female","None","Great_Houses","None",0,0,1,"BRAN"
"OSHA","Osha",15,401,"Female","North_and_Wildlings","Great_Houses","None",0,0,1,"BRAN"
"RICKON","Rickon Stark",18,195,"Male","North_and_Wildlings","Great_Houses","Royalty",1,0,1,"BRAN"
"ROBB","Robb Stark",54,1219,"Male","None","None","Royalty",1,0,0,"BRAN"
"ROBERT","Robert I Baratheon",45,648,"Male","None","None","Royalty",1,0,0,"BRAN"
"RODRIK","Rodrik Cassel",16,158,"Male","North_and_Wildlings","Minor_Houses","Military_Knight",0,0,0,"BRAN"
"SAM","Samwell Tarly",22,611,"Male","Westeros_South","Minor_Houses","None",0,2,1,"BRAN"
"SANSA","Sansa Stark",40,1110,"Female","North_and_Wildlings","Minor_Houses","Royalty",1,4,1,"BRAN"
"THEON","Theon Greyjoy",35,897,"Male","Westeros_South","Great_Houses","Royalty",1,2,1,"BRAN"
"TYRION","Tyrion Lannister",64,2322,"Male","None","Great_Houses","Official",0,4,1,"BRAN"
"WILL","Will",8,25,"Male","None","None","None",0,1,0,"BRAN"
"DAGMER","Dagmer",10,82,"Male","Westeros_South","Great_Houses","Military_Knight",0,0,1,"BRAN"
"FARLEN","Farlen",4,13,"Male","None","Great_Houses","None",0,0,0,"BRAN"
"GILLY","Gilly",13,183,"Female","North_and_Wildlings","None","None",0,0,1,"BRAN"
"YGRITTE","Ygritte",14,414,"Female","North_and_Wildlings","None","None",0,0,0,"BRAN"
"JOJEN","Jojen Reed",14,186,"Male","North_and_Wildlings","Minor_Houses","None",0,0,1,"BRAN"
"MEERA","Meera Reed",12,141,"Female","North_and_Wildlings","Minor_Houses","None",0,0,1,"BRAN"
"ORELL","Orell",11,132,"Male","North_and_Wildlings","None","None",0,0,0,"BRAN"
"TORMUND","Tormund",12,130,"Male","North_and_Wildlings","None","None",0,0,1,"BRAN"
"CATELYN","Catelyn Stark",56,1137,"Female","Westeros_South","Great_Houses","Nobility",1,3,0,"BRONN"
"CERSEI","Cersei Lannister",47,1347,"Female","Westeros_South","Great_Houses","Nobility",1,2,1,"BRONN"
"HOUND","Sandor Clegane",31,444,"Male","None","Minor_Houses","None",0,0,0,"BRONN"
"JANOS","Janos Slynt",13,104,"Male","None","Minor_Houses","Military_Knight",0,0,0,"BRONN"
"JOFFREY","Joffrey Baratheon",49,1079,"Male","None","None","Royalty",1,0,0,"BRONN"
"KEVAN","Kevan Lannister",9,53,"Male","None","Great_Houses","Military_Knight",0,1,0,"BRONN"
"LANCEL","Lancel Lannister",14,128,"Male","None","Great_Houses","Military_Knight",0,0,1,"BRONN"
"LORAS","Loras Tyrell",28,350,"Male","Westeros_South","Great_Houses","Military_Knight",0,0,1,"BRONN"
"LYSA","Lysa Arryn",9,118,"Female","None","Great_Houses","Nobility",1,0,0,"BRONN"
"MARILLION","Marillion",7,34,"Male","None","None","None",0,0,0,"BRONN"
"MERYN_TRANT","Meryn Trant",16,161,"Male","None","Minor_Houses","Military_Knight",0,0,1,"BRONN"
"MORD","Mord",7,52,"Male","None","Great_Houses","None",0,0,1,"BRONN"
"PYCELLE","Pycelle",26,343,"Male","None","Great_Houses","Religion_Academic",0,0,0,"BRONN"
"ROBIN","Robert Arryn",9,70,"Male","Westeros_South","Great_Houses","Nobility",1,0,1,"BRONN"
"RODRIK","Rodrik Cassel",16,158,"Male","North_and_Wildlings","Minor_Houses","Military_Knight",0,0,0,"BRONN"
"SANSA","Sansa Stark",40,1110,"Female","North_and_Wildlings","Minor_Houses","Royalty",1,4,1,"BRONN"
"SHAE","Shae",15,465,"Female","None","None","None",0,0,0,"BRONN"
"SHAGGA","Shagga son of Dolf",4,35,"Male","North_and_Wildlings","None","None",0,0,1,"BRONN"
"TYRION","Tyrion Lannister",64,2322,"Male","None","Great_Houses","Official",0,4,1,"BRONN"
"TYWIN","Tywin Lannister",42,799,"Male","None","Great_Houses","Nobility",1,0,0,"BRONN"
"VARDIS_EGEN","Vardis Egen",6,39,"Male","Westeros_South","Great_Houses","Military_Knight",0,0,0,"BRONN"
"VARYS","Varys",31,673,"Male","None","None","Official",0,0,1,"BRONN"
"MARGAERY","Margaery Tyrell",17,331,"Female","Westeros_South","Great_Houses","Royalty",1,0,1,"BRONN"
"PODRICK","Podrick Payne",15,151,"Male","None","Minor_Houses","None",0,0,1,"BRONN"
"TIMETT","Timett",3,12,"Male","North_and_Wildlings","None","None",0,0,1,"BRONN"
"OLENNA","Olenna Redwyne",15,217,"Female","None","Minor_Houses","Nobility",1,0,1,"BRONN"
"AERYS","Aerys II",16,63,"Male","None","None","Royalty",1,0,0,"CATELYN"
"ARYA","Arya Stark",47,1142,"Female","North_and_Wildlings","Great_Houses","Royalty",1,5,1,"CATELYN"
"BALON","Balon Greyjoy",8,125,"Male","None","None","Royalty",1,0,0,"CATELYN"
"BENJEN","Benjen Stark",10,84,"Male","North_and_Wildlings","Great_Houses","Military_Knight",0,0,1,"CATELYN"
"BRAN","Brandon Stark",33,851,"Male","North_and_Wildlings","Great_Houses","None",0,0,0,"CATELYN"
"BRANDON_STARK","Brandon Stark",6,17,"Male","North_and_Wildlings","Great_Houses","None",0,0,0,"CATELYN"
"BRONN","Bronn",29,432,"Male","None","Minor_Houses","Military_Knight",0,0,1,"CATELYN"
"CERSEI","Cersei Lannister",47,1347,"Female","Westeros_South","Great_Houses","Nobility",1,2,1,"CATELYN"
"DAENERYS","Daenerys Targaryen",34,1212,"Female","None","Great_Houses","Royalty",1,0,1,"CATELYN"
"GREATJON_UMBER","Jon Umber",12,78,"Male","North_and_Wildlings","Minor_Houses","Nobility",1,0,1,"CATELYN"
"HOSTER","Hoster Tully",4,23,"Male","Westeros_South","Great_Houses","Nobility",1,0,0,"CATELYN"
"HOUND","Sandor Clegane",31,444,"Male","None","Minor_Houses","None",0,0,0,"CATELYN"
"JAIME","Jaime Lannister",39,876,"Male","Westeros_South","Great_Houses","Military_Knight",0,3,1,"CATELYN"
"JOFFREY","Joffrey Baratheon",49,1079,"Male","None","None","Royalty",1,0,0,"CATELYN"
"JON","Jon Snow",42,1179,"Male","North_and_Wildlings","Great_Houses","Military_Knight",0,4,1,"CATELYN"
"JON_ARRYN","Jon Arryn",11,55,"Male","Westeros_South","Great_Houses","Nobility",1,0,0,"CATELYN"
"JOYEUSE","Joyeuse Erenford",7,26,"Female","None","Minor_Houses","Nobility",1,0,1,"CATELYN"
"LITTLEFINGER","Petyr Baelish",34,747,"Male","Westeros_South","Minor_Houses","Official",0,0,1,"CATELYN"
"LORAS","Loras Tyrell",28,350,"Male","Westeros_South","Great_Houses","Military_Knight",0,0,1,"CATELYN"
"LYSA","Lysa Arryn",9,118,"Female","None","Great_Houses","Nobility",1,0,0,"CATELYN"
"MAESTER_LUWIN","Luwin",16,263,"Male","Westeros_South","Great_Houses","None",0,0,0,"CATELYN"
"MARILLION","Marillion",7,34,"Male","None","None","None",0,0,0,"CATELYN"
"MASHA_HEDDLE","Masha Heddle",2,8,"Female","None","None","None",0,0,0,"CATELYN"
"MORD","Mord",7,52,"Male","None","Great_Houses","None",0,0,1,"CATELYN"
"NED","Eddard Stark",62,1427,"Male","North_and_Wildlings","Great_Houses","Nobility",1,1,0,"CATELYN"
"RENLY","Renly Baratheon",27,426,"Male","Westeros_South","Great_Houses","Nobility",1,0,0,"CATELYN"
"RICKARD_KARSTARK","Rickard Karstark",16,123,"Male","North_and_Wildlings","Great_Houses","Nobility",1,0,0,"CATELYN"
"RICKON","Rickon Stark",18,195,"Male","North_and_Wildlings","Great_Houses","Royalty",1,0,1,"CATELYN"
"ROBB","Robb Stark",54,1219,"Male","None","None","Royalty",1,0,0,"CATELYN"
"ROBERT","Robert I Baratheon",45,648,"Male","None","None","Royalty",1,0,0,"CATELYN"
"ROBIN","Robert Arryn",9,70,"Male","Westeros_South","Great_Houses","Nobility",1,0,1,"CATELYN"
"RODRIK","Rodrik Cassel",16,158,"Male","North_and_Wildlings","Minor_Houses","Military_Knight",0,0,0,"CATELYN"
"ROOSE_BOLTON","Roose Bolton",19,203,"Male","North_and_Wildlings","Minor_Houses","Nobility",1,0,1,"CATELYN"
"SANSA","Sansa Stark",40,1110,"Female","North_and_Wildlings","Minor_Houses","Royalty",1,4,1,"CATELYN"
"STANNIS","Stannis Baratheon",30,568,"Male","None","None","Official",0,0,1,"CATELYN"
"STEVRON_FREY","Stevron Frey",2,6,"Male","None","Minor_Houses","Military_Knight",0,0,0,"CATELYN"
"THEON","Theon Greyjoy",35,897,"Male","Westeros_South","Great_Houses","Royalty",1,2,1,"CATELYN"
"TYRION","Tyrion Lannister",64,2322,"Male","None","Great_Houses","Official",0,4,1,"CATELYN"
"TYWIN","Tywin Lannister",42,799,"Male","None","Great_Houses","Nobility",1,0,0,"CATELYN"
"VARDIS_EGEN","Vardis Egen",6,39,"Male","Westeros_South","Great_Houses","Military_Knight",0,0,0,"CATELYN"
"VARYS","Varys",31,673,"Male","None","None","Official",0,0,1,"CATELYN"
"WALDER","Walder Frey",19,183,"Male","None","Minor_Houses","None",0,0,1,"CATELYN"
"YOREN","Yoren",20,135,"Male","Westeros_South","None","None",0,0,0,"CATELYN"
"BRIENNE","Brienne of Tarth",16,333,"Female","None","Great_Houses","None",0,1,1,"CATELYN"
"DAVOS","Davos Seaworth",20,517,"Male","Westeros_South","Great_Houses","Military_Knight",0,3,1,"CATELYN"
"JACKS","Jacks",3,17,"Male","None","Great_Houses","None",0,0,1,"CATELYN"
"MARGAERY","Margaery Tyrell",17,331,"Female","Westeros_South","Great_Houses","Royalty",1,0,1,"CATELYN"
"MELISANDRE","Melisandre",15,287,"Female","Essos","None","None",0,1,1,"CATELYN"
"BLACK_WALDER","Walder Rivers",6,26,"Male","Westeros_South","Minor_Houses","Military_Knight",0,0,1,"CATELYN"
"BRYNDEN","Brynden Tully",11,99,"Male","Westeros_South","Great_Houses","Military_Knight",0,0,1,"CATELYN"
"EDMURE","Edmure Tully",15,140,"Male","Westeros_South","Great_Houses","Military_Knight",0,0,1,"CATELYN"
"LOTHAR","Lothar Frey",8,28,"Male","Westeros_South","Minor_Houses","Official",0,0,1,"CATELYN"
"ROSLIN","Roslin Frey",10,44,"Female","Westeros_South","Minor_Houses","None",0,0,1,"CATELYN"
"ARYA","Arya Stark",47,1142,"Female","North_and_Wildlings","Great_Houses","Royalty",1,5,1,"CERSEI"
"BAELOR","Baelor I",9,30,"Male","None","None","Royalty",1,0,0,"CERSEI"
"BARRISTAN","Barristan Selmy",18,215,"Male","Westeros_South","Minor_Houses","Military_Knight",0,1,1,"CERSEI"
"BENJEN","Benjen Stark",10,84,"Male","North_and_Wildlings","Great_Houses","Military_Knight",0,0,1,"CERSEI"
"BRAN","Brandon Stark",33,851,"Male","North_and_Wildlings","Great_Houses","None",0,0,0,"CERSEI"
"BRONN","Bronn",29,432,"Male","None","Minor_Houses","Military_Knight",0,0,1,"CERSEI"
"CATELYN","Catelyn Stark",56,1137,"Female","Westeros_South","Great_Houses","Nobility",1,3,0,"CERSEI"
"HOUND","Sandor Clegane",31,444,"Male","None","Minor_Houses","None",0,0,0,"CERSEI"
"ILYN_PAYNE","Ilyn Payne",13,60,"Male","Westeros_South","Minor_Houses","Official",0,0,1,"CERSEI"
"JAIME","Jaime Lannister",39,876,"Male","Westeros_South","Great_Houses","Military_Knight",0,3,1,"CERSEI"
"JANOS","Janos Slynt",13,104,"Male","None","Minor_Houses","Military_Knight",0,0,0,"CERSEI"
"JEOR","Jeor Mormont",21,314,"Male","North_and_Wildlings","Minor_Houses","Nobility",1,0,0,"CERSEI"
"JOANNA","Joanna Lannister",3,7,"Female","Westeros_South","Great_Houses","Nobility",1,0,0,"CERSEI"
"JOFFREY","Joffrey Baratheon",49,1079,"Male","None","None","Royalty",1,0,0,"CERSEI"
"JON","Jon Snow",42,1179,"Male","North_and_Wildlings","Great_Houses","Military_Knight",0,4,1,"CERSEI"
"JON_ARRYN","Jon Arryn",11,55,"Male","Westeros_South","Great_Houses","Nobility",1,0,0,"CERSEI"
"LANCEL","Lancel Lannister",14,128,"Male","None","Great_Houses","Military_Knight",0,0,1,"CERSEI"
"LITTLEFINGER","Petyr Baelish",34,747,"Male","Westeros_South","Minor_Houses","Official",0,0,1,"CERSEI"
"LORAS","Loras Tyrell",28,350,"Male","Westeros_South","Great_Houses","Military_Knight",0,0,1,"CERSEI"
"LYANNA","Lyanna Stark",3,9,"Female","North_and_Wildlings","Great_Houses","None",0,0,0,"CERSEI"
"MERYN_TRANT","Meryn Trant",16,161,"Male","None","Minor_Houses","Military_Knight",0,0,1,"CERSEI"
"MYRCELLA","Myrcella Baratheon",10,57,"Female","None","Great_Houses","Royalty",1,0,1,"CERSEI"
"NED","Eddard Stark",62,1427,"Male","North_and_Wildlings","Great_Houses","Nobility",1,1,0,"CERSEI"
"PYCELLE","Pycelle",26,343,"Male","None","Great_Houses","Religion_Academic",0,0,0,"CERSEI"
"RENLY","Renly Baratheon",27,426,"Male","Westeros_South","Great_Houses","Nobility",1,0,0,"CERSEI"
"ROBB","Robb Stark",54,1219,"Male","None","None","Royalty",1,0,0,"CERSEI"
"ROBERT","Robert I Baratheon",45,648,"Male","None","None","Royalty",1,0,0,"CERSEI"
"SANSA","Sansa Stark",40,1110,"Female","North_and_Wildlings","Minor_Houses","Royalty",1,4,1,"CERSEI"
"SHAE","Shae",15,465,"Female","None","None","None",0,0,0,"CERSEI"
"STANNIS","Stannis Baratheon",30,568,"Male","None","None","Official",0,0,1,"CERSEI"
"TOMMEN","Tommen Baratheon",12,67,"Male","None","None","Royalty",1,0,1,"CERSEI"
"TYRION","Tyrion Lannister",64,2322,"Male","None","Great_Houses","Official",0,4,1,"CERSEI"
"TYWIN","Tywin Lannister",42,799,"Male","None","Great_Houses","Nobility",1,0,0,"CERSEI"
"VARYS","Varys",31,673,"Male","None","None","Official",0,0,1,"CERSEI"
"YOREN","Yoren",20,135,"Male","Westeros_South","None","None",0,0,0,"CERSEI"
"DAVOS","Davos Seaworth",20,517,"Male","Westeros_South","Great_Houses","Military_Knight",0,3,1,"CERSEI"
"MANDON","Mandon Moore",4,21,"Male","Westeros_South","Minor_Houses","Military_Knight",0,0,0,"CERSEI"
"MARGAERY","Margaery Tyrell",17,331,"Female","Westeros_South","Great_Houses","Royalty",1,0,1,"CERSEI"
"MATTHOS","Matthos Seaworth",9,109,"Male","None","Minor_Houses","None",0,0,0,"CERSEI"
"PODRICK","Podrick Payne",15,151,"Male","None","Minor_Houses","None",0,0,1,"CERSEI"
"SALLADHOR","Salladhor Saan",4,73,"Male","Essos","Great_Houses","Royalty",1,0,1,"CERSEI"
"OLENNA","Olenna Redwyne",15,217,"Female","None","Minor_Houses","Nobility",1,0,1,"CERSEI"
"BARRISTAN","Barristan Selmy",18,215,"Male","Westeros_South","Minor_Houses","Military_Knight",0,1,1,"DAENERYS"
"CATELYN","Catelyn Stark",56,1137,"Female","Westeros_South","Great_Houses","Nobility",1,3,0,"DAENERYS"
"DOREAH","Doreah",10,129,"Female","Essos","Great_Houses","None",0,0,0,"DAENERYS"
"DROGO","Drogo",13,205,"Male","Essos","None","Royalty",1,0,0,"DAENERYS"
"ILLYRIO","Illyrio Mopatis",6,54,"Male","Essos","Great_Houses","Official",0,0,1,"DAENERYS"
"IRRI","Irri",9,92,"Female","Essos","Great_Houses","None",0,0,1,"DAENERYS"
"JHIQUI","Jhiqui",3,7,"Female","Essos","Great_Houses","None",0,0,1,"DAENERYS"
"JORAH","Jorah Mormont",30,665,"Male","North_and_Wildlings","Minor_Houses","Military_Knight",0,0,1,"DAENERYS"
"MAGO","Mago",2,18,"Male","Essos","None","Royalty",1,0,1,"DAENERYS"
"MIRRI_MAZ_DUUR","Mirri Maz Duur",5,81,"Female","Essos","None","Religion_Academic",0,0,0,"DAENERYS"
"NED","Eddard Stark",62,1427,"Male","North_and_Wildlings","Great_Houses","Nobility",1,1,0,"DAENERYS"
"QOTHO","Qotho",5,57,"Male","Essos","None","Royalty",1,0,0,"DAENERYS"
"RAKHARO","Rakharo",8,88,"Male","Essos","Great_Houses","Military_Knight",0,0,1,"DAENERYS"
"RHAEGO","Rhaego",4,31,"Male","None","Great_Houses","None",0,0,0,"DAENERYS"
"ROBERT","Robert I Baratheon",45,648,"Male","None","None","Royalty",1,0,0,"DAENERYS"
"SANSA","Sansa Stark",40,1110,"Female","North_and_Wildlings","Minor_Houses","Royalty",1,4,1,"DAENERYS"
"VARYS","Varys",31,673,"Male","None","None","Official",0,0,1,"DAENERYS"
"VISERYS","Viserys Targaryen",9,206,"Male","Essos","Great_Houses","Royalty",1,0,0,"DAENERYS"
"PYATT_PREE","Pyat Pree",5,43,"Male","None","None","Religion_Academic",0,0,1,"DAENERYS"
"QUAITHE","Quaithe",3,24,"Female","Essos","None","None",0,0,1,"DAENERYS"
"XARO","Xaro Xhoan Daxos",9,152,"Male","Essos","None","None",0,0,1,"DAENERYS"
